Lon,Lat,Count
-116.0376531671341,33.4402619101911,0
-116.0395675231866,33.44185946736919,0
-116.0418020079357,33.44345524132028,0
-116.0418027418148,33.44558534629623,0
-116.0424424676061,33.44984498350876,0
-116.0430819841893,33.45330575134842,0
-116.0440407262741,33.45756530751402,0
-116.0478712321568,33.46022590839141,0
-116.0507424947778,33.46262200621296,0
-116.0545751586867,33.46501480160438,0
-116.0587248340986,33.46634370558841,0
-116.0619198928697,33.46793786566435,0
-116.0654314133688,33.4695334228953,0
-116.0686229152147,33.47166222785936,0
-116.0708578753315,33.47405726299554,0
-116.0724575959979,33.47804926004807,0
-116.073098199346,33.48097724203509,0
-116.0740575009602,33.48417134933892,0
-116.0743801286619,33.4865667974739,0
-116.0718289136615,33.49056160192238,0
-116.0705543878405,33.49402309251118,0
-116.0673638480549,33.49695321215688,0
-116.06449158222,33.49935054888067,0
-116.060979542952,33.49935234107574,0
-116.0558705953433,33.49775749600384,0
-116.0533165457883,33.49775862951567,0
-116.0504454104632,33.50175275082643,0
-116.0491704458372,33.50494756393217,0
-116.0488526048858,33.50734342703531,0
-116.0469386713515,33.51027218539338,0
-116.0450241578552,33.51240240568308,0
-116.0418326464096,33.51506539232588,0
-116.0383215783423,33.51746212993108,0
-116.0335323972113,33.51799579573738,0
-116.0287429356285,33.51773067458577,0
-116.0249110809571,33.51666671392388,0
-116.0194834821948,33.51666766710807,0
-116.0162909396988,33.51746661994891,0
-116.0127787174646,33.51666838273175,0
-116.0076704121198,33.5169349407127,0
-116.0022430480117,33.51799985543411,0
-115.9977735179127,33.51933076832638,0
-115.9939421353708,33.52039533856762,0
-115.9894720795733,33.52066124055867,0
-115.9840442460031,33.52039450344575,0
-115.9789353188403,33.52039394660022,0
-115.9738268313458,33.51986071961982,0
-115.9693571397076,33.519593626648,0
-115.9636093830951,33.52012461980362,0
-115.9559457413239,33.52145309840858,0
-115.9521134369534,33.52225038370048,0
-115.9460473628576,33.51932046145111,0
-115.9402996331459,33.51825326791201,0
-115.9387049318086,33.51559046311079,0
-115.9355141919462,33.51212825646444,0
-115.9310454283744,33.50973011194331,0
-115.9249793397162,33.50812946228305,0
-115.9201928394142,33.50573078809558,0
-115.9179616835436,33.50306725004753,0
-115.9138244147983,33.49827276159388,0
-115.9118999114023,33.49374519440183,0
-115.9071133208636,33.49028063066264,0
-115.9016891108245,33.4857506755632,0
-115.8975427448222,33.48095447790374,0
-115.8927833327739,33.47642895582593,0
-115.8895682890994,33.47242670809064,0
-115.8857389382582,33.46949357666514,0
