X,Y,Name,description
-116.04378952608,33.441176284239,1,
-116.060868971143,33.4405785159516,2,
-116.073636480725,33.4407123380473,3,
-116.094160006286,33.4554894748286,4,
-116.060965598573,33.4554249351792,5,
-116.078663338594,33.4548699409948,6,
-116.077577562081,33.4697331979169,7,
-116.095024643104,33.4696827623563,8,
-116.112163888889,33.4805555555555,9,
-116.097177365925,33.4805555555555,10,
-116.080555555556,33.4805555555555,11,
-116.112437062453,33.4990937043527,12,
-116.095106863094,33.498469796742,13,
-116.080555555556,33.4980166666667,14,
-116.129671538396,33.4987077511208,15,
-116.129820514715,33.4806120417832,16,
-116.080418214555,33.5132965785911,17,
-116.095658083723,33.5102133092492,18,
-116.112089183679,33.5103302976764,19,
-116.129851492963,33.5104243047012,20,
-116.146933857515,33.510178547789,21,
-116.146975951721,33.5252751512161,22,
-116.147231399742,33.5397962736661,23,
-116.147346251925,33.554462570141,24,
-116.13015998982,33.5250572359253,25,
-116.130058014471,33.5397771658851,26,
-116.129752037184,33.5544235905368,27,
-116.112512664527,33.5545377345387,29,
-116.112774528282,33.5400464244073,30,
-116.094815082293,33.5397510570489,31,
-116.112643502163,33.5249882262004,32,
-116.095037211773,33.5246916608313,33,
-116.078850486332,33.5262756378852,34,
-116.07889283649,33.5396123221812,35,
-116.078733387717,33.554205787678,36,
-116.094578150598,33.5541757657346,37,
-116.060326972984,33.5107915338315,38,
-116.043979353491,33.554226492057,39,
-116.026322302007,33.5543905398357,40,
-116.008693676108,33.5545739284671,41,
-116.025787284901,33.5401636554377,42,
-116.00850933249,33.5399880400094,43,
-116.043477083467,33.5394629817105,44,
-116.043264210412,33.5269154809017,45,
-116.026279846006,33.5247198752064,46,
-116.061332043981,33.5523576754921,47,
-116.061193834649,33.5396264941129,48,
-116.060992816545,33.5250124901685,49,
-115.99124383934,33.5400013752816,50,
-115.973754579786,33.5400408169515,51,
-115.956553931498,33.5400037098608,52,
-115.939282858124,33.539761439135,53,
-115.93898249613,33.5197249343921,54,
-116.008540286761,33.5250917231086,55,
-115.991190301448,33.5249473197426,56,
-115.973831585829,33.5246211406785,57,
-115.956082018721,33.5241237912174,58,
-115.922752099088,33.5233739730783,59,
-115.92029756881,33.5099494946497,60,
-115.901457251804,33.5105890703674,61,
-115.885066182357,33.5034267983741,62,
-115.906832802226,33.4994605566741,63,
-115.890898908668,33.4774033706464,64,
